barcode,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59,B60,B61,B62,B63,B64
B28,8,10,9,9,7,9,10,10,9,9,11,11,7,10,9,9,8,9,10,8,8,12,8,10,9,8,9,0,10,9,11,7,8,10,11,10,10,7,10,10,7,10,8,8,7,10,12,8,10,9,9,9,7,7,10,9,10,8,10,9,9,10,11,11
B29,8,9,11,11,9,7,9,9,10,10,9,11,11,8,7,9,7,7,10,10,8,9,8,10,8,11,10,10,0,11,10,9,11,7,9,9,10,10,8,10,11,8,10,9,12,7,10,8,7,9,11,9,8,10,9,10,9,9,9,7,8,11,9,8
B30,10,9,9,8,10,8,8,11,9,7,8,10,6,11,10,10,10,11,7,9,10,11,9,9,8,11,9,9,11,0,10,10,9,9,6,9,8,11,9,8,8,9,9,8,8,11,9,9,9,8,11,9,9,11,9,7,9,8,8,10,9,9,7,11
B31,7,9,9,8,8,9,10,10,7,8,9,8,10,11,8,8,10,9,8,8,8,9,8,9,9,8,10,11,10,10,0,12,12,11,9,10,7,9,7,12,11,11,8,9,8,9,8,10,10,10,11,9,10,7,7,8,8,7,9,8,10,10,9,10
B32,10,10,8,10,9,9,7,11,10,7,10,7,8,9,8,9,10,8,11,9,12,9,10,8,8,10,12,7,9,10,12,0,11,8,12,8,8,8,11,8,10,9,9,10,10,7,10,7,10,10,8,7,8,9,10,10,9,10,9,9,11,7,11,9
B33,11,10,7,8,8,10,8,8,11,10,10,9,9,10,11,11,8,11,10,8,9,8,9,8,10,7,8,8,11,9,12,11,0,11,8,9,11,9,11,9,8,11,9,8,8,10,7,11,7,10,6,10,7,9,11,10,11,10,7,10,7,9,9,7
B34,10,10,8,11,12,8,8,8,7,12,10,9,9,7,9,10,8,9,8,9,9,9,11,8,12,9,9,10,7,9,11,8,11,0,11,9,10,9,8,8,10,8,12,9,11,10,8,9,10,8,9,10,8,9,10,7,8,9,10,8,9,9,10,7
B35,8,9,10,7,11,7,11,12,8,8,7,9,8,9,9,8,10,10,11,9,8,10,7,10,8,8,8,11,9,6,9,12,8,11,0,11,8,11,10,11,6,9,8,9,8,11,8,11,8,8,8,10,8,11,9,10,7,10,7,9,10,9,10,8
B36,9,10,9,9,8,11,7,7,10,10,8,8,11,9,11,10,10,8,7,10,10,9,11,8,7,11,8,10,9,9,10,8,9,9,11,0,12,9,8,8,10,9,10,9,11,8,10,10,10,11,8,8,10,8,7,9,7,10,9,10,11,11,7,10
B37,9,8,9,10,8,8,9,11,9,7,8,9,8,12,10,7,10,8,8,8,9,11,8,9,9,10,12,10,10,8,7,8,11,10,8,12,0,11,11,10,8,8,8,7,7,8,9,8,8,10,10,11,10,10,11,11,9,6,10,9,10,8,8,10
B38,9,10,8,8,9,12,7,9,10,8,11,10,9,7,10,8,10,8,9,10,9,7,10,10,10,10,8,7,10,11,9,8,9,9,11,9,11,0,11,11,9,8,8,7,10,8,9,9,10,12,9,8,8,9,9,10,9,10,8,9,8,10,9,7
B39,8,7,10,10,11,8,8,9,8,11,7,9,11,9,8,11,7,9,8,10,8,10,8,9,10,8,7,10,8,9,7,11,11,8,10,8,11,11,0,10,9,10,9,10,8,8,7,7,11,10,12,9,11,8,7,8,9,10,9,12,9,10,10,11
B40,10,8,8,11,10,11,9,6,9,10,8,9,7,9,10,10,8,11,9,9,9,7,9,8,10,12,9,10,10,8,12,8,9,8,11,8,10,11,10,0,11,8,11,10,12,8,10,8,9,6,8,9,8,11,9,9,9,10,11,6,8,7,9,9
B41,9,11,7,8,10,6,11,11,8,8,8,11,11,8,10,8,9,9,9,8,9,10,10,8,9,7,8,7,11,8,11,10,8,10,6,10,8,9,9,11,0,8,9,10,7,9,11,9,8,9,9,9,10,8,9,10,8,8,11,10,10,10,9,11
B42,7,9,11,9,9,10,7,10,9,9,7,8,9,7,9,9,7,8,10,9,12,8,11,11,9,11,7,10,8,9,11,9,11,8,9,9,8,8,10,8,8,0,8,8,11,9,11,10,10,8,8,9,11,9,9,9,7,11,11,9,8,10,7,10
B43,8,7,12,7,7,9,10,11,11,7,9,10,8,8,10,12,7,7,11,9,8,10,8,10,10,8,7,8,10,9,8,9,9,12,8,10,8,8,9,11,9,8,0,11,7,7,7,8,11,12,9,11,9,8,9,11,9,9,9,12,9,8,11,10
B44,10,9,8,10,7,11,8,10,10,10,8,10,7,9,11,8,9,9,8,10,9,11,9,9,9,11,11,8,9,8,9,10,8,9,9,9,7,7,10,10,10,8,11,0,10,10,9,9,10,11,9,9,7,12,10,9,11,8,8,7,10,11,7,9
B45,6,9,9,9,7,8,10,10,7,10,9,9,9,10,10,9,10,8,7,9,10,11,9,10,8,7,9,7,12,8,8,10,8,11,8,11,7,10,8,12,7,11,7,10,0,12,7,9,10,10,10,12,8,7,11,8,11,8,9,11,10,7,9,10
B46,12,9,9,9,10,11,7,10,11,8,8,10,11,7,9,8,9,10,11,8,7,9,8,7,9,10,9,10,7,11,9,7,10,10,11,8,8,8,8,8,9,9,7,10,12,0,9,7,9,12,10,10,10,11,8,11,9,9,10,9,8,11,9,8
B47,8,8,10,9,10,10,7,9,7,10,10,10,10,9,9,11,7,10,8,11,10,10,8,8,10,8,7,12,10,9,8,10,7,8,8,10,9,9,7,10,11,11,7,9,7,9,0,8,11,12,10,12,8,11,11,8,11,10,7,11,9,8,10,8
B48,8,8,11,9,8,7,7,10,12,10,8,12,9,10,8,11,9,9,8,10,7,9,7,9,10,10,7,8,8,9,10,7,11,9,11,10,8,9,7,8,9,10,8,9,9,7,8,0,12,9,12,9,11,10,9,11,11,9,10,8,8,10,8,10
B49,11,9,7,10,10,8,10,7,11,8,11,8,11,10,8,6,10,9,9,9,8,7,11,9,9,9,11,10,7,9,10,10,7,10,8,10,8,10,11,9,8,10,11,10,10,9,11,12,0,9,9,8,8,10,11,9,9,7,9,9,7,11,8,7
B50,9,6,10,10,9,8,11,10,6,10,8,8,8,10,7,9,10,9,9,7,11,7,9,10,7,9,9,9,9,8,10,10,10,8,8,11,10,12,10,6,9,8,12,11,10,12,12,9,9,0,9,8,10,9,7,8,9,10,11,7,8,6,10,10
B51,11,9,8,9,10,9,8,8,11,10,11,7,8,6,7,9,10,8,12,6,9,7,11,8,11,8,7,9,11,11,11,8,6,9,8,8,10,9,12,8,9,8,9,9,10,10,10,12,9,9,0,11,7,7,12,10,8,12,8,8,9,8,10,9
B52,9,11,10,7,8,9,10,8,10,7,9,6,9,9,9,8,11,10,9,11,10,8,11,8,8,8,10,9,9,9,9,7,10,10,10,8,11,8,9,9,9,9,11,9,12,10,12,9,8,8,11,0,10,9,7,9,10,8,8,10,10,9,8,10
